ParticipantID,Condition,Trial,TargetID,Target_Position_X,Target_Position_Y,Target_Position_Z,Selection_Position_X,Selection_Position_Y,Selection_Position_Z,GripperTip_Position_X,GripperTip_Position_Y,GripperTip_Position_Z,Gripper_Position_X,Gripper_Position_Y,Gripper_Position_Z,Distance_Tip_to_Disk,Timestamp,Unnamed: 18
23,C_HumanVertical,1,0,0.2249999,0.558,0.9000006,0.2001933,0.5815615,0.9000006,0.2001938,0.581561,0.8184092,0.2047053,0.5812136,0.7054998,0.08159132,202404111450242692,
23,C_HumanVertical,1,5,-0.2158861,0.6213899,0.9000004,-0.2393092,0.5986219,0.9000003,-0.2393085,0.5986214,0.8112552,-0.1850089,0.6041729,0.712312,0.08874518,202404111450280883,
23,C_HumanVertical,1,10,0.1892818,0.4363558,0.9000005,0.2078629,0.4606509,0.9000005,0.2078634,0.4606504,0.8334722,0.2121612,0.4808036,0.722367,0.0665283,202404111450321382,
23,C_HumanVertical,1,4,-0.147344,0.7280437,0.9000004,-0.1719762,0.7383231,0.9000004,-0.1719754,0.7383229,0.8161842,-0.1346832,0.7201793,0.7110695,0.08381622,202404111450366751,
23,C_HumanVertical,1,9,0.09346815,0.3533328,0.9000005,0.0780987,0.3779687,0.9000005,0.07809919,0.3779683,0.8292301,0.09901573,0.4164515,0.7250646,0.0707704,202404111450448206,
23,C_HumanVertical,2,3,-0.03202109,0.7807099,0.9000005,-0.0535518,0.7630791,0.9000005,-0.05355119,0.7630786,0.8007256,-0.02427383,0.7410298,0.6938345,0.09927474,202404111450546991,
23,C_HumanVertical,2,8,-0.03202107,0.3352903,0.9000004,-0.01400702,0.3597903,0.9000005,-0.01400649,0.3597898,0.8484152,0.01953522,0.3956422,0.7466381,0.05158524,202404111451003513,
23,C_HumanVertical,2,2,0.09346813,0.7626672,0.9000005,0.08551642,0.7383323,0.9000005,0.08551697,0.7383319,0.8262929,0.09220206,0.7172325,0.7154816,0.07370749,202404111451043625,
23,C_HumanVertical,2,7,-0.1473439,0.3879564,0.9000004,-0.1716106,0.3750559,0.9000005,-0.17161,0.3750555,0.8533514,-0.1274331,0.4129958,0.7565116,0.04664907,202404111451085164,
23,C_HumanVertical,2,1,0.1892818,0.6796442,0.9000006,0.1646844,0.6776239,0.8999848,0.1646842,0.677624,0.8388449,0.1625971,0.6655629,0.7265099,0.06113987,202404111451111546,
23,C_HumanVertical,2,6,-0.2158862,0.4946103,0.9000004,-0.1920349,0.4977012,0.8999331,-0.1920352,0.4977017,0.8444646,-0.1434754,0.5173358,0.7443376,0.05546851,202404111451136061,
