pid,condition,tlx_item,tlx_score
17,RobotHorizontal,Physical Demand,16.0
17,RobotHorizontal,Temporal Demand,17.0
17,RobotHorizontal,Performance,8.0
17,RobotHorizontal,Effort,8.0
17,RobotHorizontal,Frustration,18.0
18,HumanVertical,Mental Demand,5.0
18,HumanVertical,Physical Demand,7.0
18,HumanVertical,Temporal Demand,6.0
18,HumanVertical,Performance,7.0
18,HumanVertical,Effort,7.0
18,HumanVertical,Frustration,4.0
18,HumanHorizontal,Mental Demand,4.0
18,HumanHorizontal,Physical Demand,4.0
18,HumanHorizontal,Temporal Demand,8.0
18,HumanHorizontal,Performance,7.0
18,HumanHorizontal,Effort,6.0
18,HumanHorizontal,Frustration,5.0
18,RobotHorizontal,Mental Demand,4.0
18,RobotHorizontal,Physical Demand,4.0
18,RobotHorizontal,Temporal Demand,4.0
18,RobotHorizontal,Performance,5.0
18,RobotHorizontal,Effort,16.0
18,RobotHorizontal,Frustration,4.0
18,Baseline,Mental Demand,2.0
18,Baseline,Physical Demand,2.0
18,Baseline,Temporal Demand,2.0
18,Baseline,Performance,3.0
18,Baseline,Effort,4.0
18,Baseline,Frustration,2.0
19,HumanVertical,Mental Demand,4.0
19,HumanVertical,Physical Demand,10.0
19,HumanVertical,Temporal Demand,5.0
19,HumanVertical,Performance,6.0
19,HumanVertical,Effort,8.0
19,HumanVertical,Frustration,2.0
19,RobotHorizontal,Mental Demand,3.0
19,RobotHorizontal,Physical Demand,5.0
19,RobotHorizontal,Temporal Demand,3.0
19,RobotHorizontal,Performance,3.0
19,RobotHorizontal,Effort,5.0
19,RobotHorizontal,Frustration,1.0
19,HumanHorizontal,Mental Demand,1.0
19,HumanHorizontal,Physical Demand,3.0
19,HumanHorizontal,Temporal Demand,1.0
19,HumanHorizontal,Performance,2.0
19,HumanHorizontal,Effort,3.0
19,HumanHorizontal,Frustration,1.0
19,Baseline,Mental Demand,2.0
19,Baseline,Physical Demand,3.0
19,Baseline,Temporal Demand,1.0
19,Baseline,Performance,2.0
19,Baseline,Effort,3.0
19,Baseline,Frustration,1.0
20,RobotHorizontal,Mental Demand,10.0
20,RobotHorizontal,Physical Demand,12.0
20,RobotHorizontal,Temporal Demand,3.0
20,RobotHorizontal,Performance,7.0
20,RobotHorizontal,Effort,5.0
20,RobotHorizontal,Frustration,1.0
20,Baseline,Mental Demand,7.0
20,Baseline,Physical Demand,14.0
20,Baseline,Temporal Demand,5.0
20,Baseline,Performance,9.0
20,Baseline,Effort,12.0
20,Baseline,Frustration,5.0
20,HumanHorizontal,Mental Demand,5.0
20,HumanHorizontal,Physical Demand,14.0
20,HumanHorizontal,Temporal Demand,7.0
20,HumanHorizontal,Performance,9.0
20,HumanHorizontal,Effort,14.0
20,HumanHorizontal,Frustration,5.0
20,HumanVertical,Mental Demand,5.0
20,HumanVertical,Physical Demand,12.0
20,HumanVertical,Temporal Demand,5.0
20,HumanVertical,Performance,9.0
20,HumanVertical,Effort,5.0
20,HumanVertical,Frustration,5.0
21,RobotHorizontal,Mental Demand,6.0
21,RobotHorizontal,Physical Demand,10.0
21,RobotHorizontal,Temporal Demand,5.0
21,RobotHorizontal,Performance,6.0
21,RobotHorizontal,Effort,8.0
21,RobotHorizontal,Frustration,5.0
21,HumanVertical,Mental Demand,2.0
21,HumanVertical,Physical Demand,5.0
21,HumanVertical,Temporal Demand,2.0
21,HumanVertical,Performance,3.0
21,HumanVertical,Effort,3.0
21,HumanVertical,Frustration,1.0
21,Baseline,Mental Demand,2.0
21,Baseline,Physical Demand,2.0
21,Baseline,Temporal Demand,1.0
21,Baseline,Performance,2.0
21,Baseline,Effort,2.0
21,Baseline,Frustration,1.0
21,HumanHorizontal,Mental Demand,1.0
21,HumanHorizontal,Physical Demand,2.0
21,HumanHorizontal,Temporal Demand,1.0
21,HumanHorizontal,Performance,1.0
21,HumanHorizontal,Effort,1.0
21,HumanHorizontal,Frustration,1.0
22,RobotHorizontal,Mental Demand,12.0
22,RobotHorizontal,Physical Demand,13.0
22,RobotHorizontal,Temporal Demand,6.0
22,RobotHorizontal,Performance,4.0
22,RobotHorizontal,Effort,5.0
22,RobotHorizontal,Frustration,5.0
22,HumanHorizontal,Mental Demand,2.0
22,HumanHorizontal,Physical Demand,4.0
